compound_name,polarity,mz,rtmin,rtmax,quality,fragmz,int,first_scan
Propylamine,pos,60.080774999999996,16.1429404,17.30936844,yes,41.038546571772976,16490.42665210054,143329
Propylamine,pos,60.080774999999996,16.1429404,17.30936844,maybe,43.03061146776282,13173.870457967123,143456
Propylamine,pos,60.080774999999996,16.1429404,17.30936844,yes,43.05418538020127,27679.995761095528,143329
Propylamine,pos,60.080774999999996,16.1429404,17.30936844,maybe,60.08073316517646,53458.47281744204,143329
Trimethylamine,pos,60.080774999999996,6.155400311,7.078822509,yes,44.04945742744668,24003.513222763988,55597
Trimethylamine,pos,60.080774999999996,6.155400311,7.078822509,yes,45.05729018240093,12410.103532058038,55391
Trimethylamine,pos,60.080774999999996,6.155400311,7.078822509,maybe,59.06032552018629,2813.486758872028,55391
Trimethylamine,pos,60.080774999999996,6.155400311,7.078822509,yes,60.08072666836286,192948.1109517686,55391
Urea,pos,61.039638999999994,5.693672456,6.565446686,maybe,44.013074282818074,53540.64463467679,52038
Urea,pos,61.039638999999994,5.693672456,6.565446686,maybe,61.03958095897005,248851.57367136437,52038
Ethanolamine,pos,62.06004,13.84198054,14.89813251,yes,44.04943156413374,80834.78088643575,122239
Ethanolamine,pos,62.06004,13.84198054,14.89813251,yes,45.03345214406515,6695.723099263787,122239
Ethanolamine,pos,62.06004,13.84198054,14.89813251,yes,62.05999178998215,26257.492153587995,122239
Trimethylamine N-oxide,pos,76.07569000000001,6.468582883,7.509868769,maybe,42.03376817876099,23650.254862313726,58405
Trimethylamine N-oxide,pos,76.07569000000001,6.468582883,7.509868769,yes,58.06505794302842,801415.464778462,58361
Trimethylamine N-oxide,pos,76.07569000000001,6.468582883,7.509868769,yes,59.07288563108481,532234.3800765618,58361
Trimethylamine N-oxide,pos,76.07569000000001,6.468582883,7.509868769,yes,76.07561362135839,1026116.6401735008,58361
Trimethylamine N-oxide,pos,76.07569000000001,6.468582883,7.509868769,maybe,77.07906684264036,21413.757729085286,58361
"Trimethylamine N-oxide, 2H9",pos,85.13218300000001,6.442793404,7.510305835,maybe,42.03377251389718,10221.288653418436,59371
"Trimethylamine N-oxide, 2H9",pos,85.13218300000001,6.442793404,7.510305835,maybe,46.05888667652906,26625.34607054989,59371
"Trimethylamine N-oxide, 2H9",pos,85.13218300000001,6.442793404,7.510305835,maybe,59.060298092932776,97896.38632754372,59450
"Trimethylamine N-oxide, 2H9",pos,85.13218300000001,6.442793404,7.510305835,yes,66.11524894256665,941547.1220388105,59310
"Trimethylamine N-oxide, 2H9",pos,85.13218300000001,6.442793404,7.510305835,yes,68.12934815462056,985243.189516129,59310
"Trimethylamine N-oxide, 2H9",pos,85.13218300000001,6.442793404,7.510305835,maybe,71.11327797468054,25197.288610390668,59904
"Trimethylamine N-oxide, 2H9",pos,85.13218300000001,6.442793404,7.510305835,yes,85.13208104523707,1682093.7805569556,59310
"Trimethylamine N-oxide, 2H9",pos,85.13218300000001,6.442793404,7.510305835,maybe,91.56758130756556,21887.47858334796,60497
L-Alanine,neg,88.040403,10.69694133,11.46500972,yes,88.04044292836588,30275.56116394972,83254
Sarcosine,neg,88.040403,10.10097551,10.63372643,yes,88.04043005665525,11126.257573166393,80236
Oxalic acid,neg,88.988034,14.28574857,15.02921564,yes,60.99316176934308,11231.207623335637,112400
Oxalic acid,neg,88.988034,14.28574857,15.02921564,yes,88.98814027263913,6984.751457506772,112400
Oxalic acid,neg,88.988034,14.28574857,15.02921564,maybe,89.02449178235005,1552.6009378957383,112400
L-Alanine,pos,90.054955,10.69694133,11.46500972,yes,44.04944912462568,39727.10984760001,97346
L-Alanine,pos,90.054955,10.69694133,11.46500972,maybe,59.060284724686824,4140.3772704109315,97477
L-Alanine,pos,90.054955,10.69694133,11.46500972,yes,90.05495449979533,4711.63399402679,97346
Sarcosine,pos,90.054955,10.10097551,10.63372643,yes,44.04945080403174,143411.67815250088,91296
Sarcosine,pos,90.054955,10.10097551,10.63372643,yes,90.05498012599658,15175.833339572648,91296
beta-Alanine,pos,90.054955,11.45706876,11.94138777,yes,43.01781973714837,6278.599372031356,104708
beta-Alanine,pos,90.054955,11.45706876,11.94138777,yes,72.04436265667054,15201.531720312685,104587
beta-Alanine,pos,90.054955,11.45706876,11.94138777,yes,90.05493198079101,8718.727567952474,104587
"L-Alanine, 2H3",pos,93.073786,10.61397468,11.32336722,yes,47.06826088543685,38405.57439893199,97954
"L-Alanine, 2H3",pos,93.073786,10.61397468,11.32336722,yes,93.0736331201119,1768.6653660136058,98180
Succinic semialdehyde,neg,101.024419,4.240366417,6.952607923,yes,55.0189687553555,150092.10407758103,34135
Succinic semialdehyde,neg,101.024419,4.240366417,6.952607923,yes,57.03458745817257,1565056.453332338,34135
Succinic semialdehyde,neg,101.024419,4.240366417,6.952607923,yes,73.02953834566941,114708.28820134571,34135
Succinic semialdehyde,neg,101.024419,4.240366417,6.952607923,yes,83.01388352854447,98303.02596203765,34278
