compound_name,polarity,mz_group,quality,notes
Trimethylamine,pos,60.08073,yes,
Trimethylamine,pos,44.04947,yes,
Trimethylamine,pos,60.04437,,
Trimethylamine,pos,60.0636,,
Trimethylamine,pos,61.03961,,
Trimethylamine,pos,45.05729,yes,
Trimethylamine,pos,43.01783,,
Trimethylamine,pos,59.06033,maybe,
Trimethylamine,pos,43.0372,,
Propylamine,pos,60.05728,,
Propylamine,pos,60.06363,,
Propylamine,pos,60.08074,maybe,
Propylamine,pos,60.04436,,
Propylamine,pos,43.05419,yes,
Propylamine,pos,43.03062,maybe,
Propylamine,pos,41.03855,yes,
Propylamine,pos,43.03707,,
Propylamine,pos,43.03729,,
Propylamine,pos,43.01782,,
Propylamine,pos,59.06034,,
Urea,pos,61.03958,maybe,
Urea,pos,44.01308,maybe,
Urea,pos,65.65358,,
Urea,pos,65.65447,,
Ethanolamine,pos,44.04943,yes,
Ethanolamine,pos,62.05999,yes,
Ethanolamine,pos,45.03346,yes,
Ethanolamine,pos,59.06036,,
Ethanolamine,pos,74.09645,,
Ethanolamine,pos,72.08076,,
Ethanolamine,pos,42.03379,,
Ethanolamine,pos,42.03442,,
Ethanolamine,pos,47.37994,,
Ethanolamine,pos,47.37932,,
Ethanolamine,pos,62.0368,,
Ethanolamine,pos,118.08625,,
Ethanolamine,pos,62.98164,,
Ethanolamine,pos,62.043,,
Glycine,pos,76.07566,,
Glycine,pos,58.0651,,
Glycine,pos,59.07288,,
Trimethylamine N-oxide,pos,76.07564,yes,
Trimethylamine N-oxide,pos,58.06507,yes,
Trimethylamine N-oxide,pos,59.0729,yes,
Trimethylamine N-oxide,pos,77.07905,maybe,
Trimethylamine N-oxide,pos,118.08637,,
Trimethylamine N-oxide,pos,81.82643,,
Trimethylamine N-oxide,pos,62.45523,,
Trimethylamine N-oxide,pos,42.03374,maybe,
Trimethylamine N-oxide,pos,62.45445,,
Oxalic acid,neg,60.99317,yes,
Oxalic acid,neg,88.98816,yes,
Oxalic acid,neg,89.02451,maybe,
Oxalic acid,neg,90.00994,,
Oxalic acid,neg,88.9332,,
Oxalic acid,neg,89.04298,,
Oxalic acid,neg,43.01897,,
