compound_name,best_adduct,polarity,rtmin,rtmax,mono_mass,mz,obs_mz,file_type
Riboflavin-5-phosphate,[M-H]-,both,8.72681999,9.999807699,456.104619,455.097343,455.0973949062059,Mix2
Adenosine triphosphate,[M-H]-,both,13.97300847,15.9904386,506.99575400000003,505.98847800000004,505.9887672497523,Mix2
Taurocholic acid,[M-H]-,both,1.711123294,2.396592779,515.291676,514.2844,514.2844467915669,Mix1
Guanosine triphosphate,[M-H]-,both,15.99433544,17.99971001,522.990669,521.983393,521.9837109240876,Mix2
UDP-glucose,[M-H]-,both,13.56177851,14.33920593,566.055029,565.047753,565.0480245878222,Mix2
UDP-N-acetylglucosamine,[M-H]-,both,12.50629071,13.24284306,607.081578,606.074302,606.0746358619926,Mix2
Glutathione disulfide,[M-H]-,both,14.37227924,15.09518835,612.151968,611.144692,611.1452024160701,Mix2
NAD,[M+H]+,both,11.10168291,12.0053008,663.109129,664.1164050000001,664.1165139657716,Mix2
"3',5'-Cyclic diGMP",[M-H]-,both,14.45663782,15.25262527,690.094876,689.0876,689.0881064650245,Mix2
NADP,[M-H]-,neg,14.19808639,15.27299225,744.083287,743.076011,743.0726419031381,Mix2
Flavin adenine dinucleotide,[M-H]-,neg,9.001848627,9.78983537,785.157142,784.149866,784.1502716135078,Mix2
"Trimethylamine N-oxide, 2H9",[M+H]+,pos,6.442793404,7.510305835,84.12490700000001,85.13218300000001,85.13206990326944,IS
"L-Alanine, 2H3",[M-H]-,both,10.61397468,11.32336722,92.06651,91.05923399999999,91.05925204238429,IS
"Cytosine, 13C2, 15N3",[M+H]+,both,6.659303421,7.601901598,116.041077,117.048353,117.04828534562299,IS
"Succinic acid, 2H4",[M-H]-,neg,12.4902462,13.03947429,122.05171800000001,121.044442,121.04446391660356,IS
"L-Proline, 2H7",[M+H]+,pos,8.844355641,9.732373351,122.107268,123.11454400000001,123.11447985279293,IS
"Glycine betaine, 13C5, 15N",[M+H]+,both,6.974428088,8.039519161,123.09278900000001,124.10006500000001,124.09995701671124,IS
"L-Valine, 2H8",[M+H]+,pos,8.006890729,9.005697359,125.129195,126.136471,126.13642886714528,IS
"Isethionic acid, 13C2",[M-H]-,neg,6.578746277,7.597314402,128.005392,126.998116,126.99815379594516,IS
"Taurine, 2H4",[M-H]-,both,9.778730144,10.61450461,129.039774,128.032498,128.03254339677628,IS
"Thymine, 2H4",[M-H]-,both,2.762259297,3.924085253,130.068036,129.06076000000002,129.06080241669886,IS
"L-Isoleucine, 15N",[M+H]+,both,6.75829994,7.750379255,132.091664,133.09894,133.09890798013393,IS
"Ornithine, 2H6",[M+H]+,both,16.12677847,18.19865815,138.12754,139.134816,139.1347922895515,IS
