compound_name,formula,polarity,best_adduct,rtmin,rtmax
N6-Methyladenine,C6H7N5,both,[M+H]+,3.015260003,4.286952614
Xanthine,C5H4N4O2,both,[M-H]-,7.841015541,8.841955333
Dimethylsulfoxonium propionate,C5H10O3S,pos,[M+H]+,10.08148904,10.76223154
L-Cysteinesulfinic acid,C3H7NO4S,both,[M-H]-,11.52733486,12.3611152
"2,5-Dihydroxybenzoic acid",C7H6O4,neg,[M-H]-,3.16878565,4.286275198
Cysteinolic acid,C3H9NO4S,both,[M-H]-,8.352722023,9.371724545
Amino hydroxypropanesulfonate,C3H9NO4S,both,[M-H]-,9.973862399,11.17813811
"(R)-2,3-Dihydroxypropane-1-sulfonate",C3H8O5S,neg,[M-H]-,7.641296092,8.662857422
Orotic acid,C5H4N2O4,neg,[M-H]-,6.531587796,8.258508669
L-Histidine,C6H9N3O2,both,[M+H]+,18.64267131,24.06745187
Allantoin,C4H6N4O3,neg,[M-H]-,9.844687576,10.59181067
5-Hydroxyectoine,C6H10N2O3,both,[M+H]+,11.05664168,11.63267569
L-2-Aminoadipic acid,C6H11NO4,both,[M+H]+,11.89641354,12.52043582
Betonicine,C7H13NO3,both,[M+H]+,8.465206887,9.161307048
N-Methyl-L-glutamic acid,C6H11NO4,both,[M+H]+,9.544329571,10.16835185
Deoxynojirimycin,C6H13NO4,both,[M+H]+,9.930882446,10.65731844
Carnitine,C7H15NO3,pos,[M+H]+,9.68010363,10.25563481
L-Hydroxylysine,C6H14N2O3,both,[M+H]+,16.27039266,18.18511947
N-Acetyltaurine,C4H9NO4S,both,[M-H]-,3.837963418,5.132299275
Taurocyamine,C3H9N3O3S,both,[M+H]+,11.68760198,12.35921513
L-Methionine S-oxide,C5H11NO3S,both,[M+H]+,8.761005243,9.74332522
Hordenine,C10H15NO,both,[M+H]+,2.83602422,4.192038079
3-Sulfopyruvic acid,C3H4O6S,neg,[M-H]-,15.03389949,15.89743998
Phosphoenolpyruvic acid,C3H5O6P,both,[M-H]-,14.90187522,15.47071158
L-Cysteic acid,C3H7NO5S,both,[M-H]-,12.63899998,13.3557514
"2,3-Pyridinedicarboxylic acid",C7H5NO4,pos,[M+H]+,10.18021469,12.03641116
3-Sulfolactate,C3H5O6S-,neg,[M]-,13.87970812,14.46064101
Dihydroxyacetone phosphate,C3H7O6P,both,[M-H]-,12.55687094,13.14263711
Glycerophosphoric acid,C3H9O6P,both,[M-H]-,12.23974196,13.0474327
Sulfanilic acid,C6H7NO3S,neg,[M-H]-,6.277974636,7.146829156
cis-Aconitic acid,C6H6O6,neg,[M-H]-,15.21660865,15.99561645
Shikimic acid,C7H10O5,neg,[M-H]-,10.50776567,11.30652102
L-Theanine,C7H14N2O3,both,[M+H]+,7.384068677,8.488080614
L-Arginine,C6H14N4O2,both,[M+H]+,18.48421639,19.9845425
Succinylglycine,C6H9NO5,both,[M+H]+,12.1446024,12.78234375
Citrulline,C6H13N3O3,both,[M+H]+,11.85380434,12.61528862
Arsenobetaine,C5H11AsO2,both,[M+H]+,6.928685948,7.921539933
Gonyol,C7H14O3S,pos,[M+H]+,10.86643148,11.41698952
Glucosamine,C6H13NO5,pos,[M+H]+,10.02239588,10.94205771
Ethyl dihydroxybenzoate,C9H10O4,neg,[M-H]-,1.742577105,2.438013701
Mannitol,C6H14O6,neg,[M-H]-,10.14716374,10.94323009
Choline sulfate,C5H13NO4S,both,[M+H]+,6.73554476,7.69548147
L-Tyrosine,C9H11NO3,both,[M+H]+,8.620477928,9.637155771
Phosphocholine,C5H14NO4P,both,[M+H]+,11.863414,13.15823438
3-Phosphoglycerate,C3H7O7P,both,[M-H]-,14.35382844,15.52615148
N-Acetyl-L-glutamic acid,C7H11NO5,both,[M-H]-,11.3388986,12.08500427
N6-Acetyl-L-lysine,C8H16N2O3,both,[M+H]+,8.889196666,9.736661392
"N6,N6,N6-Trimethyl-L-lysine",C9H20N2O2,both,[M+H]+,16.40875572,18.01683088
Citric acid,C6H8O7,neg,[M-H]-,13.86679948,15.18669647
Isocitric acid,C6H8O7,neg,[M-H]-,15.51667072,16.53016306
D-Gluconic acid,C6H12O7,neg,[M-H]-,10.35753024,12.03713154
Cyclo(Pro-Pro),C10H14N2O2,pos,[M+H]+,2.109588225,2.714951554
O-Acetylcarnitine,C9H17NO4,both,[M+H]+,7.048792631,8.065722181
Lipoic acid,C8H14O2S2,neg,[M-H]-,1.79834365,2.379215217
O-Succinylhomoserine,C8H13NO6,both,[M+H]+,10.35142863,11.20482976
